,Breakdown,Total Revenue,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
13,3/31/2020,"413,193","164,010","19,186","144,824",-,"144,824",1.00,1.00,"144,814","145,285","144,824","144,824","449,190","86,483","362,707","31,186","144,824",-,-,0,0
14,12/31/2019,"427,417","219,282","31,067","188,215",-,"188,215",1.29,1.29,"145,624","146,318","188,215","188,158","467,233","99,014","368,219","40,958","188,215",66,66,0,9.372
15,9/30/2019,"417,649","206,367","34,951","171,416",-,"171,416",1.18,1.17,"145,559","146,120","171,416","171,376","476,912","107,105","369,807","31,107","171,416",48,48,0,8.112
16,6/30/2019,"416,747","223,177","72,797","150,380",-,"150,380",1.03,1.03,"145,546","146,052","150,380","150,380","474,844","107,518","367,326","32,615","150,380",0,0,0,0
17,3/31/2019,"401,088","195,091","31,067","164,024",-,"164,024",1.13,1.12,"145,256","145,921","164,024","164,024","463,311","100,850","362,461","39,498","164,024",0,0,0,0
18,12/31/2018,"406,987","205,055","32,037","173,018",-,"173,018",1.19,1.18,"144,960","146,133","173,018","172,110","457,334","87,918","369,416","43,722","173,018","1,081","1,081",0,172.96
19,9/30/2018,"389,220","204,865","33,563","171,302",-,"171,302",1.18,1.17,"144,921","146,173","171,302","168,444","422,185","73,465","348,720","33,448","171,302","3,402","3,402",0,544.32
20,6/30/2018,"385,911","196,992","24,643","172,349",-,"172,349",1.19,1.18,"144,899","146,091","172,349","171,380","400,311","58,632","341,679","32,471","172,349","1,114","1,114",0,144.82
21,3/31/2018,"365,902","211,784","24,752","187,032",-,"187,032",1.29,1.28,"144,664","145,939","187,032","158,383","371,873","45,180","326,693","29,858","187,032","32,556","32,556",0,"3,907"
22,12/31/2017,"359,109","174,127","89,229","84,898",-,"84,898",0.59,0.58,"144,542","146,030","84,898","82,920","359,765","40,064","319,701","1,621","84,898","3,296","3,296",0,"1,318"
23,9/30/2017,"345,516","175,284","42,624","132,660",-,"132,660",0.92,0.91,"144,498","145,882","132,660","128,989","339,910","36,755","303,155","1,735","132,660","4,850","4,850",0,"1,179"
24,6/30/2017,"333,944","157,685","39,355","118,330",-,"118,330",0.82,0.81,"144,485","145,740","118,330","117,549","322,775","32,684","290,091","1,762","118,330","1,042","1,042",0,260.5
25,3/31/2017,"313,773","228,004","58,268","169,736",-,"169,736",1.18,1.16,"144,249","145,732","169,736","116,163","302,669","30,547","272,122","1,817","169,736","72,007","72,007",0,"18,434"
26,12/31/2016,"318,783","161,137","50,403","110,734",-,"110,734",0.77,0.76,"144,166","145,703","110,734","110,734","302,127","29,425","272,702","64,035","110,734",0,0,0,0
27,9/30/2016,"300,407","123,464","13,321","110,143",-,"110,143",0.76,0.76,"144,122","145,238","110,143","110,143","280,317","26,169","254,148","43,369","110,143",0,0,0,0
28,6/30/2016,"295,575","142,916","39,632","103,284",-,"103,284",0.72,0.71,"144,101","145,078","103,284","103,284","278,865","25,281","253,584","26,579","103,284",0,0,0,0
29,3/31/2016,"290,510","144,671","37,155","107,516",-,"107,516",0.75,0.74,"143,958","144,803","107,516","107,516","276,172","23,968","252,204","28,613","107,516",-,-,0,0
30,12/31/2015,"288,624","148,485","56,680","91,805",-,"91,805",0.64,0.63,"143,900","144,686","91,805","91,805","270,477","23,536","246,941","27,773","91,805",0,0,0,0
31,9/30/2015,"294,470","138,989","44,892","94,097",-,"94,097",0.65,0.65,"143,861","144,590","94,097","104,383","264,632","24,343","240,289","22,009","94,097","-15,193","-15,193",0,"-4,907"
32,6/30/2015,"266,335","144,421","45,673","98,748",93,"98,748",0.69,0.68,"143,846","144,480","98,748","103,278","255,445","27,953","227,492","13,379","98,748","-6,625","-6,625",0,"-2,095"
33,3/31/2015,"277,503","146,826","46,799","100,027",106,"100,027",0.70,0.69,"143,655","144,349","100,027","100,027","263,261","27,544","235,717","17,422","100,027",-,-,0,0
34,12/31/2014,"266,459","113,047","20,049","92,998",-,"92,998",0.65,0.65,"143,432","144,116","92,998","92,998","287,135","27,647","259,488","26,495","92,998",-,-,0,0
35,9/30/2014,"266,189","75,112","-13,644","88,756",-,"88,756",0.64,0.64,"143,210","143,810","88,756","88,756","285,948","28,974","256,974","50,995","88,756",-,-,0,0
36,6/30/2014,"252,423","115,606","31,618","83,988",-,"83,988",0.59,0.58,"143,187","143,689","83,988","83,857","294,442","27,992","266,450","28,243","83,988",180,180,0,49.2296
37,3/31/2014,"240,295","111,690","34,949","76,741",-,"76,741",0.54,0.54,"141,962","142,632","76,741","76,617","286,173","28,207","257,966","21,892","76,741",180,180,0,56.3239
38,12/31/2013,"225,627","98,564","22,782","75,782",-,"75,782",0.55,0.55,"137,157","137,688","75,782","75,647","293,203","28,195","265,008","31,262","75,782",176,176,0,40.656
39,9/30/2013,"209,084","108,906","35,749","73,157",-,"73,157",0.53,0.53,"137,036","137,467","73,157","72,490","281,706","27,456","254,250","23,122","73,157",993,993,0,325.704
40,6/30/2013,"211,489","111,870","37,855","72,301",-,"72,301",0.52,0.52,"137,536","137,816","74,015","73,864","255,353","27,709","227,644","22,877","74,015",228,228,0,77.064
41,3/31/2013,"203,484","106,510","34,419","70,377",-,"70,377",0.51,0.50,"137,648","143,519","72,091","72,007","238,423","29,132","209,291","23,908","72,091",124,124,0,40.052
42,12/31/2012,"220,008","108,200","36,300","70,185",-,"70,185",0.50,0.49,"138,802","144,564","71,900","69,132","276,521","31,577","244,944","23,558","71,900","4,162","4,162",0,"1,394"
43,9/30/2012,"224,659","105,203","34,093","69,396",-,"69,396",0.49,0.48,"139,621","145,358","71,110","71,083","254,162","32,254","221,908","19,267","71,110",40,40,0,12.9627
44,6/30/2012,"221,502","104,394","33,837","68,843",-,"68,843",0.48,0.47,"142,107","147,786","70,557","70,532","266,362","33,205","233,157","20,252","70,557",37,37,0,11.9927
45,3/31/2012,"240,757","107,795","39,712","66,369",-,"66,369",0.46,0.45,"145,347","151,996","68,083","68,146","254,050","35,132","218,918","19,459","68,083",-99,-99,0,-36.4719
46,12/31/2011,"230,180","103,339","37,133","64,492",-,"64,492",-,-,-,-,"66,206","67,747","268,074","39,830","228,244","18,637","66,206","-2,405","-2,405",0,-864.1932
47,9/30/2011,"224,237","97,685","35,253","60,718",-,"60,718",0.41,0.41,"147,162","153,453","62,432","62,413","282,741","44,959","237,782","18,115","62,432",30,30,0,10.8265
48,6/30/2011,"239,827","95,730","35,205","58,811",-,"58,811",0.40,0.39,"147,011","153,347","60,525","59,154","274,468","47,132","227,336","15,279","60,525","2,169","2,169",0,797.6564
49,3/31/2011,"220,339","86,580","30,509","54,356",-,"54,356",0.37,0.37,"146,837","153,334","56,071","54,743","254,335","45,501","208,834","15,429","56,071","2,051","2,051",0,722.7299
50,12/31/2010,"265,069","85,706","29,357","32,240",-,"32,240",-,-,-,-,"56,349","63,605","291,320","45,633","245,687","9,440","56,349","-11,037","-11,037",0,"-3,781"
51,9/30/2010,"210,217","73,527","26,576","40,219",-,"40,219",0.27,0.27,"146,454","147,113","46,951","47,518","231,400","48,595","182,805","14,590","46,951",-888,-888,0,-320.9636
52,6/30/2010,"218,627","58,734","22,386","30,201",-,"30,201",0.21,0.21,"146,372","147,131","36,348","27,168","253,533","49,910","203,623","17,486","36,348","14,834","14,834",0,"5,654"
53,3/31/2010,"241,961","37,942","13,026","18,778",-,"18,778",0.17,0.13,"109,961","146,865","24,916","22,752","318,703","56,979","261,724","16,077","24,916","3,296","3,296",0,"1,132"
54,12/31/2009,"693,489","409,234","149,504","253,601",-,"253,601",-,-,-,-,"259,730","-10,155","283,270","64,140","219,130","65,054","259,730","425,234","425,234",0,"155,349"
55,9/30/2009,"84,000","-121,308","-52,777","-79,151",-,"-79,151",-0.91,-0.91,"86,538","86,538","-68,531","-68,531","147,924","52,044","95,880","5,275","-68,531","-24,249","-24,249",0,0
56,6/30/2009,"97,828","-147,273","-60,548","-115,714",-,"-115,714",-1.83,-1.83,"63,105","63,105","-86,725","-62,384","145,788","58,073","87,715","5,765","-86,725","-37,447","-37,447",0,"-13,106"
57,3/31/2009,"93,675","-35,931","-13,465","-31,209",-,"-31,209",-0.50,-0.50,"62,998","62,998","-22,466","-22,341","144,417","65,242","79,175","5,807","-22,466",-200,-200,0,-74.9492
58,12/31/2008,"85,644","-11,208","-13,574","-3,019",-,"-3,019",-,-,-,-,"2,366","8,224","149,907","73,053","76,854","5,342","2,366","-9,013","-9,013",0,"-3,155"
59,9/30/2008,"96,532","-48,561","-17,355","-35,295",-,"-35,295",-0.56,-0.56,"62,675","62,675","-31,206","3,271","159,862","73,347","86,515","2,651","-31,206","-53,651","-53,651",0,"-19,174"
60,6/30/2008,"105,559","-45,041","-19,154","-25,887",-,"-25,887",-0.41,-0.41,"62,599","62,599","-25,887","-25,887","167,905","75,729","92,176","3,967","-25,887",-,-,0,0
61,3/31/2008,"115,544","7,642","2,598","5,044",-,"5,044",0.08,0.08,"62,485","62,949","5,044","3,820","187,184","87,565","99,619","6,136","5,044","1,855","1,855",0,630.632
62,12/31/2007,"120,586","59,307","22,062","37,245",-,"37,245",-,-,-,-,"37,245","36,199","201,448","94,840","106,608","3,954","37,245","1,665","1,665",0,619.3743
63,9/30/2007,"117,847","67,704","26,368","41,336",-,"41,336",0.68,0.67,"61,232","62,088","41,336","40,566","198,768","94,914","103,854","1,485","41,336","1,261","1,261",0,491.1091
64,6/30/2007,"109,731","66,468","25,978","40,490",-,"40,490",0.67,0.66,"60,381","61,346","40,490","40,300","187,214","88,285","98,929","5,635","40,490",312,312,0,121.9404
65,3/31/2007,"111,098","68,780","26,684","42,096",-,"42,096",0.69,0.68,"60,649","61,700","42,096","41,273","186,177","87,574","98,603","2,795","42,096","1,344","1,344",0,521.4204
66,12/31/2006,"106,655","64,031","24,920","39,111",-,"39,111",-,-,-,-,"39,111","39,111","186,188","88,815","97,373",-51,"39,111",-,-,0,0
67,9/30/2006,"103,520","58,074","22,512","35,562",-,"35,562",0.59,0.58,"60,536","61,797","35,562","35,562","177,312","81,895","95,417","2,218","35,562",-,-,0,0
68,6/30/2006,"99,763","59,894","23,249","36,645",-,"36,645",0.61,0.59,"60,270","61,619","36,645","36,645","159,248","67,604","91,644","2,916","36,645",-,-,0,0
69,3/31/2006,"91,938","51,782","19,731","32,051",-,"32,051",0.56,0.55,"56,807","58,293","32,051","31,997","137,302","54,254","83,048","2,804","32,051",88,88,0,33.5315
70,12/31/2005,"88,709","49,101","18,286","30,815",-,"30,815",-,-,-,-,"30,815","30,807","126,587","45,236","81,351","3,200","30,815",12,12,0,4.469
71,9/30/2005,"79,409","44,603","16,020","28,583",-,"28,583",0.54,0.52,"53,261","54,822","28,583","28,575","106,287","34,705","71,582","2,324","28,583",12,12,0,4.31
72,6/30/2005,"72,924","40,023","14,560","25,463",-,"25,463",0.49,0.47,"52,338","53,878","25,463","25,463","93,769","28,809","64,960","2,399","25,463",-,-,0,0
73,3/31/2005,"68,722","36,634","13,115","23,519",-,"23,519",0.45,0.44,"52,245","53,963","23,519","23,519","84,756","22,534","62,222","2,405","23,519",-,-,0,0
74,12/31/2004,"68,076","35,772","13,123","22,649",-,"22,649",-,-,-,-,"22,649","21,133","76,763","17,512","59,251","2,491","22,649","2,395","2,395",0,878.6085
75,9/30/2004,"60,011","31,801","11,402","20,399",-,"20,399",0.40,0.39,"51,210","52,884","20,399","19,804","66,815","13,980","52,835","3,027","20,399",927,927,0,332.3686
76,6/30/2004,"52,372","27,726","9,697","18,029",-,"18,029",0.36,0.35,"50,063","51,675","18,029","17,878","56,347","11,343","45,004","3,059","18,029",232,232,0,81.1406
77,3/31/2004,"50,540","26,034","9,089","16,945",-,"16,945",0.34,0.34,"49,138","50,694","16,945","16,929","52,145","10,062","42,083","2,880","16,945",25,25,0,8.728
78,12/31/2003,"47,934","24,550","8,143","16,407",-,"16,407",-,-,-,-,"16,407","16,407","48,191","8,381","39,810","3,335","16,407",-,-,0,0
79,9/30/2003,"46,654","24,811","8,669","16,142",-,"16,142",0.34,0.33,"48,138","49,600","16,142","16,030","45,427","7,966","37,461","3,240","16,142",172,172,0,60.0971
80,6/30/2003,"43,663","22,343","7,658","14,685",-,"14,685",0.30,0.30,"47,936","49,204","14,685","14,632","43,873","8,892","34,981","2,837","14,685",81,81,0,27.7625
81,3/31/2003,"37,839","17,956","6,198","11,758",-,"11,758",0.24,0.24,"47,782","49,082","11,758","11,392","41,052","9,993","31,059","2,727","11,758",559,559,0,192.954
82,12/31/2002,"36,795","17,928","5,293","12,635",-,"12,635",-,-,-,-,"12,635","12,635","40,450","11,585","28,865","3,463","12,635",-,-,0,0
83,9/30/2002,"37,764","18,937","6,051","12,886",-,"12,886",0.14,0.13,"94,708","99,276","12,886","12,550","43,605","12,387","31,218","2,340","12,886",494,494,0,157.8494
84,6/30/2002,"35,321","16,803","4,554","12,249",-,"12,249",0.13,0.12,"94,096","99,196","12,249","12,219","42,056","12,463","29,593","2,648","12,249",41,41,0,11.1119
85,3/31/2002,"32,816","15,148","4,217","11,719",-,"11,719",0.12,0.11,"93,528","97,876","10,931","10,931","40,102","12,544","27,558","1,999","10,931",-,-,0,0
86,12/31/2001,"31,954","12,895","3,393","9,502",-,"9,502",-,-,-,-,"9,502","9,502","42,391","15,840","26,551","2,140","9,502",-,-,0,0
87,9/30/2001,"29,471","12,702","2,921","9,781",-,"9,781",0.21,0.20,"45,928","48,076","9,781","9,667","44,391","19,571","24,820","2,331","9,781",148,148,0,34.0346
88,6/30/2001,"29,589","13,186","3,497","9,689",-,"9,689",0.21,0.20,"45,656","47,646","9,689","9,378","46,546","22,086","24,460","2,375","9,689",423,423,0,112.1819
89,3/31/2001,"29,927","13,817","3,919","9,811",-,"9,811",0.21,0.20,"46,082","48,210","9,898","9,898","49,370","25,851","23,519","2,607","9,898",-,-,0,0
90,12/31/2000,"26,020","11,921","2,309","9,612",-,"9,612",-,-,-,-,"9,612","9,612","48,430","25,856","22,574","2,324","9,612",-,-,0,0
91,9/30/2000,"26,238","12,688","3,910","8,778",-,"8,778",0.20,0.19,"44,812","46,712","8,778","8,519","47,289","24,711","22,578","2,164","8,778",374,374,0,115.2538
92,6/30/2000,"25,820","12,243","3,879","8,364",-,"8,364",0.18,0.18,"44,726","45,644","8,364","8,364","46,120","23,769","22,351","2,287","8,364",-,-,0,0
93,3/31/2000,"26,377","13,243","4,530","8,713",-,"8,713",0.20,0.19,"44,662","45,354","8,713","8,118","44,241","22,257","21,984","1,976","8,713",905,905,0,309.5711
94,12/31/1999,"23,300","11,400","3,500","7,900",-,"7,900",-,-,-,-,"7,900","8,177","39,500","19,800","19,700","2,100","7,900",-400,-400,0,-122.807
95,9/30/1999,"22,100","10,200","3,200","7,000",-,"7,000",0.08,0.08,"44,798","44,798","7,000","7,000","37,800","19,200","18,600",900,"7,000",-,-,0,0
96,6/30/1999,"21,500","10,500","3,400","7,100",-,"7,100",0.08,0.08,"44,936","44,936","7,100","6,627","36,000","18,700","17,300",400,"7,100",700,700,0,226.6667
97,3/31/1999,"19,500","9,500","3,500","6,000",-,"6,000",0.07,0.07,"46,100","46,100","6,000","5,747","34,700","18,500","16,200",700,"6,000",400,400,0,147.3684
98,12/31/1998,-,-,-,"6,500",-,"6,500",-,-,-,-,"6,500","6,500",-,-,-,-,"6,500",-,-,0,0
99,9/30/1998,-,-,-,"4,700",-,"4,700",0.05,0.05,"47,550","47,550","4,700","4,700",-,-,-,-,"4,700",-,-,0,0
100,6/30/1998,-,-,-,"3,800",-,"3,800",0.04,0.04,"47,550","47,550","3,800","3,800",-,-,-,-,"3,800",-,-,0,0
101,3/31/1998,-,-,-,"3,000",-,"3,000",0.03,0.03,"47,550","47,550","3,000","3,000",-,-,-,-,"3,000",-,-,0,0
