,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Stock based compensation,Other non-cash items,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Taxes Refund Paid,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,10/31/2013,"31,595,000","31,595,000","7,775,000","-576,000",-,"-304,000","-272,000","1,039,000","1,039,000","518,000","521,000","521,000","-370,000","-370,000",-,-,"22,965,000",-,-,-,-,-,-,-,-,-,"68,156,000","-869,000","-20,010,000","-20,010,000","-751,000","-751,000","-6,543,000",-,-,"-10,556,000","-73,515,000","62,959,000",-,"-11,477,000","-11,477,000","-3,400,000","-3,400,000",0,"-3,400,000",-,-,-,"-516,000","3,902,000","-4,418,000","-471,000",-,"-471,000","-2,647,000","-2,647,000",-,"-41,000",-,"3,581,000","108,000","37,000","3,436,000",-,"6,928,000","6,931,000","-751,000","3,902,000",0,"-3,400,000","-4,889,000","30,844,000"
11,10/31/2012,"14,046,000","14,046,000","7,563,000","-607,000",-,"-607,000","-234,000","985,000","985,000","508,000","477,000","477,000","112,000","112,000",-,"6,267,000","5,494,000","-236,000","-236,000",-,-,-,-,-,"-21,178,000","43,270,000","9,957,000","-1,296,000","-24,490,000","-24,490,000","-827,000","-827,000","-6,839,000","-6,839,000",-,"-3,931,000","-64,861,000","60,930,000",-,"10,780,000","10,780,000","-201,000","-201,000",0,"-201,000",-,-,-,"141,000","3,393,000","-3,252,000","-11,000",-,"-11,000","-1,870,000","-1,870,000",-,"-115,000",-,"3,436,000","336,000","4,000","3,096,000",-,"7,368,000","7,368,000","-827,000","3,393,000",0,"-201,000","-3,252,000","13,219,000"
12,10/31/2011,"-759,000","-759,000","5,889,000","-914,000",-,"-393,000","-246,000","1,182,000","1,182,000","467,000","715,000","715,000","-116,000","-116,000",-,"104,000","-8,369,000",-,-,"-785,000","-785,000","-597,000","-597,000","-188,000","-8,737,000",-,"1,153,000",-,"-48,479,000","-48,479,000","-304,000","-304,000","-3,309,000",-,-,"-12,453,000","-72,308,000","59,855,000",-,"49,798,000","49,798,000","-75,000","-814,000","1,000,000","-1,814,000","739,000",-,-,"916,000","3,139,000","-2,223,000","-550,000",0,"-550,000","-1,835,000","-1,835,000",-,"-550,000",-,"3,096,000","560,000","-38,000","2,574,000",0,"2,076,000","5,795,000","-304,000","3,139,000","1,000,000","-1,814,000","-2,223,000","-1,063,000"
13,10/31/2010,"3,249,000","3,249,000","4,644,000","-610,000",-,"-75,000","-235,000","1,193,000","1,193,000","601,000","592,000","592,000","98,000","98,000",-,"106,000","-3,807,000","610,000",-,-,-,-,-,-,-,-,"-4,417,000",-,"-42,785,000","-42,785,000","-770,000","-770,000","2,024,000",-,"2,024,000","-16,537,000","-80,778,000","64,241,000",-,"39,779,000","39,779,000","6,019,000","-35,000","158,000","-35,000","6,054,000","6,054,000",-,"790,000","3,011,000","-2,221,000","-863,000",0,"-863,000","-1,766,000","-1,766,000",-,"158,000",-,"2,574,000","243,000","-83,000","2,414,000",0,"917,000","5,865,000","-770,000","3,011,000","6,054,000","-35,000","-3,084,000","2,479,000"
14,10/31/2009,"24,643,000","24,643,000","3,120,000","-151,000",-,"-321,000","-303,000","1,253,000","1,253,000","600,000","653,000","653,000","336,000","336,000",-,"111,000","17,494,000","224,000",-,"1,703,000","1,703,000","1,703,000","1,703,000",-,-,-,"15,567,000",-,"-36,611,000","-36,611,000","-820,000","-820,000",0,-,-,"-16,208,000","-92,331,000","76,123,000",-,"12,213,000","12,213,000","-20,000","-20,000",0,"-20,000","-877,000",-,"-877,000","1,544,000","1,581,000","-37,000","1,498,000","1,498,000",-,"-1,791,000","-1,791,000",-,"-877,000","-159,000","2,414,000","86,000","-159,000","2,517,000","-30,000","1,198,000","8,337,000","-820,000","3,079,000",0,"-20,000","-37,000","23,823,000"
15,10/31/2008,"19,981,962","19,981,962","3,833,574","-371,573",-,"-371,573","-309,000","1,014,911","1,014,911","438,000","577,000","577,000","108,225","108,225","22,000","865,801","14,531,025",-,-,"-2,857,143","-2,857,143","-2,857,143","-2,857,143",-,-,-,"17,388,167",-,"-70,912,698","-70,912,698","-531,506",-,"-1,759,259",-,-,"-53,162,578","-282,804,233","229,641,655","-15,459,355","51,398,509","51,398,509","-650,553","2,946,128","4,024,772","-1,078,644","-3,596,681",-,-,"188,793","189,000",0,"1,429,774","1,430,000","-5,000","-1,635,402","-1,577,000","-59,000","36,075",-,"2,516,835","467,773","259,740","1,790,524","-1,203","1,905,000","10,678,000","-531,506","1,619,000","4,024,772","-1,078,644","-5,000","19,450,457"
16,10/31/2007,"4,053,543","4,053,543","3,996,784","-467,316",-,"-467,316","-284,000","860,846","860,846","362,000","499,000","499,000","244,064","244,064","53,000","-455,964","-124,870",-,-,"558,131","558,131","558,131","558,131",-,-,-,"-683,001",-,"-13,866,238","-13,866,238","-321,635",-,"-4,138,681",-,-,"9,719,043","-96,846,088","106,565,131","-19,124,965","9,754,044","9,754,044","-2,666,730","2,331,851","4,076,246","-1,744,395","-4,998,581",-,-,"157,979","203,000","-356,000","-345,000",0,"-345,000","-1,452,086","-1,432,000","-20,000","-438,937",945.984,"1,789,802","-57,705","-171,223","2,018,730",-,"1,099,000","10,947,000","-321,635","203,000","4,076,246","-1,744,395","-701,000","3,731,908"
17,10/31/2006,"-6,386,177","-6,386,177","4,603,388","-305,172",-,"-305,000","-134,000","848,199","848,199","343,000","505,000","505,000","-16,829","-16,829","26,000","-1,394,592","-10,121,171",-,-,"87,513","87,513","87,513","87,513",-,-,-,"-10,208,684",-,"-12,459,329","-12,459,329","-493,661",-,"-1,980,254",-,-,"-15,055,537","-265,766,857","250,711,321","5,070,122","19,231,460","19,231,460","10,741,613","1,362,055","2,341,524","-979,468","9,379,558",-,-,"509,368","119,000","-284,000","424,000","425,000","-1,000","-1,200,494","-950,000","-22,000","-65,073",-,"2,019,522","385,953","-40,390","1,672,837","1,122","968,000","9,085,000","-493,661","544,000","2,341,524","-979,468","-285,000","-6,879,838"
18,10/31/2005,"5,261,542","5,261,542","2,229,307","-408,549",-,"-242,059",-,"867,871","867,871",-,-,-,"-260,952","-260,952",-,"-30,708,466","33,542,331",-,-,"2,362","2,362","2,362","2,362",-,-,-,"33,539,969",-,"-20,349,510","-20,349,510","-813,555",-,"-2,184,437",-,-,"-12,636,675","-106,299,445","93,662,770","-4,714,842","15,384,343","15,384,343","4,827,016","-1,916,401","270,398","-2,186,799","6,743,417",-,-,"511,276",-,-,-,-,-,"-1,098,123",-,-,"-24,796","1,181","1,673,161","297,556","-28,339","1,403,944",-,-,-,"-813,555",-,"270,398","-2,186,799",-,"4,447,987"
19,10/31/2004,"-8,929,529","-8,929,529","2,310,412","-191,417",-,-,-,"920,507","920,507",-,-,-,"128,018","128,018",-,"-280,419","-11,816,630",-,-,"-440,137","-440,137","-440,137","-440,137",-,-,-,"-11,376,494",-,"-17,902,950","-17,902,950","-207,267",-,-,-,-,"-10,832,724","-35,290,173","24,457,449","-6,862,960","26,784,931","26,784,931","4,144,111","-181,663","2,438","-184,101","4,325,774",-,-,"-342,599",-,-,-,-,-,"-968,057",-,-,"-60,961",-,"1,404,535","-47,549","-15,850","1,467,935",-,-,-,"-207,267",-,"2,438","-184,101",-,"-9,136,796"
20,10/31/2003,"5,153,633","5,153,633","1,076,091","-22,419",-,-,-,"1,090,597","1,090,597",-,-,-,"-73,849","-73,849",-,"2,936,832","146,380",-,-,"668,601","668,601","668,601","668,601",-,-,-,"-522,221",-,"2,302,519","2,302,519","-101,543",-,-,-,-,"-363,972","-29,613,609","29,249,637","2,768,034","-7,746,275","-7,746,275","-977,186","1,544,244","1,904,260","-360,016","-2,521,430",-,-,"-143,743",-,-,"549,914",-,-,"-841,356",-,-,"-23,737","-1,319","1,467,757","-291,441","-142,424","1,901,622",-,-,-,"-101,543",-,"1,904,260","-360,016",-,"5,052,090"
21,10/31/2002,"13,931,464","13,931,464","-76,324","-26,480",-,-,-,"1,309,969","1,309,969",-,-,-,"-1,017,134","-1,017,134",-,"14,034,268","-292,835",-,-,"249,221","249,221","249,221","249,221",-,-,-,"-542,056",-,"1,540,498","1,540,498","-113,707",-,"-1,194,704",-,-,"9,378,505","-16,619,938","25,998,442","-6,529,595","-15,531,153","-15,531,153","-10,908,100","-548,287","557,632","-1,105,919","-10,359,813",-,-,"903,427",-,-,-,-,-,"-802,181",-,-,-0.001,0.001,"1,901,869","-59,190",-,"1,961,059",-,-,-,"-113,707",-,"557,632","-1,105,919",-,"13,817,757"
22,10/31/2001,"-4,832,566","-4,832,566","1,382,320","-215,839",-,"-215,839",-,"1,807,650","1,807,650",-,-,-,"-1,209,332","-1,209,332",-,"-8,311,379","1,714,014",-,-,"-77,765","-77,765","-77,765","-77,765",-,-,-,"1,791,779",-,"-9,917,473","-9,917,473",-,-,"-296,778",-,-,"-9,592,128","-21,328,361","11,736,232","-28,567","15,188,065","15,188,065","7,647,992","-549,119","809,395","-1,358,515","8,197,112",-,-,"-22,219",-,-,"225,361",-,-,"-766,545",-,-,-0.001,"1,587","1,961,593","439,613",-,"1,521,981",-,-,-,-,-,"809,395","-1,358,515",-,"-4,832,566"
23,10/31/2000,"-5,912,275","-5,912,275","1,024,977","-382,272",-,"-382,272",-,"1,605,239","1,605,239",-,-,-,"-831,557","-831,557",-,"415,778","-7,744,441",-,-,"-233,019","-233,019","-233,019","-233,019",-,-,-,"-7,511,422",-,"7,689,613","7,689,613","-193,421",-,"-7,167,225",-,-,"18,358,209","-69,753,274","88,111,483","-3,307,950","-1,719,464","-1,719,464","-6,367,652","1,382,882","1,387,451","-4,569","-7,750,533",-,-,"-27,414",-,-,"409,686",-,-,"-627,475",-,-,"884,861",-,"1,521,474","57,874",-,"1,463,600",-0.001,-,-,"-193,421",-,"1,387,451","-4,569",-,"-6,105,696"
24,10/31/1999,"-9,809,033","-9,809,033","2,981,021","-1,079,005",-,"-1,079,005",-,"253,936","253,936",-,-,-,"134,030","134,030",-,"-12,268,942","169,928",-,-,"381,933","381,933","381,933","381,933",-,-,-,"-212,005",-,"-24,010,004","-24,010,004","-273,062",-,-,-,-,"-20,917,022","-60,998,970","40,081,948","-2,819,921","33,903,928","33,903,928","12,599,088","-230,984","55,024","-286,009","12,830,072",-,-,"656,025",-,-,-,-,-,"-475,945",-,-,"1,415,772",147.124,"1,464,028","85,038",-,"1,378,991",-,-,-,"-273,062",-,"55,024","-286,009",-,"-10,082,095"
25,10/31/1998,"-16,772,959","-16,772,959","1,121,006","-386,016",-,"-386,016",-,"223,954","223,954",-,-,-,"-106,035","-106,035",-,"-17,343,880","-281,988",-,-,"-83,964","-83,964","-83,964","-83,964",-,-,-,"-198,024",-,"10,162,062","10,162,062","-342,028",-,-,-,-,"11,514,894","-50,367,032","61,881,926","-1,010,804","6,789,937","6,789,937","-3,137,058","246,952","246,952",-,"-3,384,010",-,-,"-96,002",-,-,"350,054",-,-,"-436,950",-,-,"58,960",-0.001,0,"179,040",-,"1,200,031","-1,379,071",-,-,"-342,028",-,"246,952",-,-,"-17,114,987"
26,10/31/1997,"-8,061,963","-8,061,963","1,088,016",-,-,-,-,"158,006","158,006",-,-,-,"-116,040","-116,040",-,"-9,099,845","-92,100",-,-,-,-,-,-,-,-,-,-,-,"-22,570,061","-22,570,061","-155,049",-,-,-,-,"409,942","-18,376,003","18,785,946","-22,824,954","30,243,064","30,243,064","1,056,048","1,056,048","1,571,046","-514,998",-,-,-,"-236,023",-,-,-,-,-,"-366,005",-,-,"6,726,095",-,0,"-388,959",-,"906,070","-517,110",-,-,"-155,049",-,"1,571,046","-514,998",-,"-8,217,012"
27,10/31/1996,"-1,023,010","-1,023,010","913,980",-,-,-,-,"134,983","134,983",-,-,-,"77,057","77,057",-,"-1,917,057","-231,973",-,-,-,-,-,-,-,-,-,-,-,"-11,827,023","-11,827,023","-880,936",-,-,-,-,"1,606,020","-11,524,950","13,130,970","-12,552,107","13,229,967","13,229,967","-63,946","-63,946","12,977","-76,923",-,-,-,"435,050",-,-,-,-,-,"-334,047",-,-,"8,360,936",133.779,0,"380,067",-,"526,020","-906,087",-,-,"-880,936",-,"12,977","-76,923",-,"-1,903,946"
28,10/31/1995,"1,819,971","1,819,971","790,523",-,-,-,-,"131,442","131,442",-,-,-,"-11,913","-11,913",-,"679,963","229,956",-,-,-,-,-,-,-,-,-,-,-,"-8,359,925","-8,359,925","-179,226",-,-,-,-,"-2,856,378","-2,856,378",-,"-5,324,321","6,401,553","6,401,553","-105,475","-105,475",-,"-105,475",-,-,-,"142,417",-,-,-,-,-,"-301,700",-,-,"6,001,205",0.001,0,"-138,402",-,"662,027","-523,625",-,-,"-179,226",-,-,"-105,475",-,"1,640,744"
